Location,Number_Avg,Type,Date,Time,AMPM,Avg_Value,Unit
New Berlin,1,Ambient,2-Dec-18,5:15,AM,3.75,C
New Berlin,1,Ambient,2-Dec-18,8:15,AM,4,C
New Berlin,1,Ambient,2-Dec-18,11:15,AM,4.25,C
New Berlin,1,Ambient,2-Dec-18,2:15,PM,3.25,C
New Berlin,1,Ambient,2-Dec-18,5:15,PM,1.25,C
New Berlin,1,Ambient,2-Dec-18,8:15,PM,1.25,C
New Berlin,1,Ambient,2-Dec-18,11:15,PM,0.75,C
New Berlin,1,Ambient,3-Dec-18,2:15,AM,0.25,C
New Berlin,1,Ambient,3-Dec-18,5:15,AM,0.25,C
New Berlin,1,Ambient,3-Dec-18,8:15,AM,-0.25,C
New Berlin,1,Ambient,3-Dec-18,11:15,AM,0.25,C
New Berlin,1,Ambient,3-Dec-18,2:15,PM,-0.25,C
New Berlin,1,Ambient,3-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,3-Dec-18,8:15,PM,-1.25,C
New Berlin,1,Ambient,3-Dec-18,11:15,PM,-1.25,C
New Berlin,1,Ambient,4-Dec-18,2:15,AM,-1.75,C
New Berlin,1,Ambient,4-Dec-18,5:15,AM,-1.75,C
New Berlin,1,Ambient,4-Dec-18,8:15,AM,-1.75,C
New Berlin,1,Ambient,4-Dec-18,11:15,AM,0.5,C
New Berlin,1,Ambient,4-Dec-18,2:15,PM,-0.25,C
New Berlin,1,Ambient,4-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,4-Dec-18,8:15,PM,-1.75,C
New Berlin,1,Ambient,4-Dec-18,11:15,PM,-2.5,C
New Berlin,1,Ambient,5-Dec-18,2:15,AM,-2.75,C
New Berlin,1,Ambient,5-Dec-18,5:15,AM,-3.75,C
New Berlin,1,Ambient,5-Dec-18,8:15,AM,-4.25,C
New Berlin,1,Ambient,5-Dec-18,11:15,AM,-1.25,C
New Berlin,1,Ambient,5-Dec-18,2:15,PM,1,C
New Berlin,1,Ambient,5-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,5-Dec-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,5-Dec-18,11:15,PM,-1.25,C
New Berlin,1,Ambient,6-Dec-18,2:15,AM,-1.25,C
New Berlin,1,Ambient,6-Dec-18,5:15,AM,-1.75,C
New Berlin,1,Ambient,6-Dec-18,8:15,AM,-4.25,C
New Berlin,1,Ambient,6-Dec-18,11:15,AM,4,C
New Berlin,1,Ambient,6-Dec-18,2:15,PM,-1.5,C
New Berlin,1,Ambient,6-Dec-18,5:15,PM,-4.75,C
New Berlin,1,Ambient,6-Dec-18,8:15,PM,-6.25,C
New Berlin,1,Ambient,6-Dec-18,11:15,PM,-7.75,C
New Berlin,1,Ambient,7-Dec-18,2:15,AM,-9,C
New Berlin,1,Ambient,7-Dec-18,5:15,AM,-10.25,C
New Berlin,1,Ambient,7-Dec-18,8:15,AM,-8.25,C
New Berlin,1,Ambient,7-Dec-18,11:15,AM,-6.25,C
New Berlin,1,Ambient,7-Dec-18,2:15,PM,1.25,C
New Berlin,1,Ambient,7-Dec-18,5:15,PM,-6.25,C
New Berlin,1,Ambient,7-Dec-18,8:15,PM,-6.25,C
New Berlin,1,Ambient,7-Dec-18,11:15,PM,-7.75,C
New Berlin,1,Ambient,8-Dec-18,2:15,AM,-7.5,C
New Berlin,1,Ambient,8-Dec-18,5:15,AM,-9.25,C
New Berlin,1,Ambient,8-Dec-18,8:15,AM,-5.25,C
New Berlin,1,Ambient,8-Dec-18,11:15,AM,5.25,C
New Berlin,1,Ambient,8-Dec-18,2:15,PM,2,C
New Berlin,1,Ambient,8-Dec-18,5:15,PM,-2.75,C
New Berlin,1,Ambient,8-Dec-18,8:15,PM,-5.75,C
New Berlin,1,Ambient,8-Dec-18,11:15,PM,-8,C
New Berlin,1,Ambient,9-Dec-18,2:15,AM,-9.25,C
New Berlin,1,Ambient,9-Dec-18,5:15,AM,-9.5,C
New Berlin,1,Ambient,9-Dec-18,8:15,AM,-7.75,C
New Berlin,1,Ambient,9-Dec-18,11:15,AM,-4.75,C
New Berlin,1,Ambient,9-Dec-18,2:15,PM,-2.75,C
New Berlin,1,Ambient,9-Dec-18,5:15,PM,-5.75,C
New Berlin,1,Ambient,9-Dec-18,8:15,PM,-7.25,C
New Berlin,1,Ambient,9-Dec-18,11:15,PM,-7.75,C
New Berlin,1,Ambient,10-Dec-18,2:15,AM,-8,C
New Berlin,1,Ambient,10-Dec-18,5:15,AM,-8.25,C
New Berlin,1,Ambient,10-Dec-18,8:15,AM,-5.25,C
New Berlin,1,Ambient,10-Dec-18,11:15,AM,3.75,C
New Berlin,1,Ambient,10-Dec-18,2:15,PM,4.75,C
New Berlin,1,Ambient,10-Dec-18,5:15,PM,-0.25,C
New Berlin,1,Ambient,10-Dec-18,8:15,PM,-1.5,C
New Berlin,1,Ambient,10-Dec-18,11:15,PM,-3.25,C
New Berlin,1,Ambient,11-Dec-18,2:15,AM,-3.75,C
New Berlin,1,Ambient,11-Dec-18,5:15,AM,-4.75,C
New Berlin,1,Ambient,11-Dec-18,8:15,AM,-2.5,C
New Berlin,1,Ambient,11-Dec-18,11:15,AM,6.5,C
New Berlin,1,Ambient,11-Dec-18,2:15,PM,8,C
New Berlin,1,Ambient,11-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,11-Dec-18,8:15,PM,-1.75,C
New Berlin,1,Ambient,11-Dec-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,12-Dec-18,2:15,AM,0.5,C
New Berlin,1,Ambient,12-Dec-18,5:15,AM,1.75,C
New Berlin,1,Ambient,12-Dec-18,8:15,AM,2,C
New Berlin,1,Ambient,12-Dec-18,11:15,AM,3.25,C
New Berlin,1,Ambient,12-Dec-18,2:15,PM,-1.25,C
New Berlin,1,Ambient,12-Dec-18,5:15,PM,-1.25,C
New Berlin,1,Ambient,12-Dec-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,12-Dec-18,11:15,PM,-0.25,C
New Berlin,1,Ambient,13-Dec-18,2:15,AM,-0.75,C
New Berlin,1,Ambient,13-Dec-18,5:15,AM,-0.75,C
New Berlin,1,Ambient,13-Dec-18,8:15,AM,-1.25,C
New Berlin,1,Ambient,13-Dec-18,11:15,AM,1.75,C
New Berlin,1,Ambient,13-Dec-18,2:15,PM,4.75,C
New Berlin,1,Ambient,13-Dec-18,5:15,PM,2.75,C
New Berlin,1,Ambient,13-Dec-18,8:15,PM,2.75,C
New Berlin,1,Ambient,13-Dec-18,11:15,PM,3.25,C
New Berlin,1,Ambient,14-Dec-18,2:15,AM,2.75,C
New Berlin,1,Ambient,14-Dec-18,5:15,AM,2.25,C
New Berlin,1,Ambient,14-Dec-18,8:15,AM,0.75,C
New Berlin,1,Ambient,14-Dec-18,11:15,AM,1.5,C
New Berlin,1,Ambient,14-Dec-18,2:15,PM,2.25,C
New Berlin,1,Ambient,14-Dec-18,5:15,PM,0,C
New Berlin,1,Ambient,14-Dec-18,8:15,PM,-1.5,C
New Berlin,1,Ambient,14-Dec-18,11:15,PM,-2.75,C
New Berlin,1,Ambient,15-Dec-18,2:15,AM,-2.75,C
New Berlin,1,Ambient,15-Dec-18,5:15,AM,-3.75,C
New Berlin,1,Ambient,15-Dec-18,8:15,AM,0,C
New Berlin,1,Ambient,15-Dec-18,11:15,AM,13.5,C
New Berlin,1,Ambient,15-Dec-18,2:15,PM,15.25,C
New Berlin,1,Ambient,15-Dec-18,5:15,PM,5.5,C
New Berlin,1,Ambient,15-Dec-18,8:15,PM,1.25,C
New Berlin,1,Ambient,15-Dec-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,16-Dec-18,2:15,AM,-3,C
New Berlin,1,Ambient,16-Dec-18,5:15,AM,-4.25,C
New Berlin,1,Ambient,16-Dec-18,8:15,AM,0,C
New Berlin,1,Ambient,16-Dec-18,11:15,AM,11.75,C
New Berlin,1,Ambient,16-Dec-18,2:15,PM,11.5,C
New Berlin,1,Ambient,16-Dec-18,5:15,PM,6.25,C
New Berlin,1,Ambient,16-Dec-18,8:15,PM,3.25,C
New Berlin,1,Ambient,16-Dec-18,11:15,PM,2.25,C
New Berlin,1,Ambient,17-Dec-18,2:15,AM,0.75,C
New Berlin,1,Ambient,17-Dec-18,5:15,AM,-0.25,C
New Berlin,1,Ambient,17-Dec-18,8:15,AM,0.75,C
New Berlin,1,Ambient,17-Dec-18,11:15,AM,8.75,C
New Berlin,1,Ambient,17-Dec-18,2:15,PM,11.75,C
New Berlin,1,Ambient,17-Dec-18,5:15,PM,3,C
New Berlin,1,Ambient,17-Dec-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,17-Dec-18,11:15,PM,-3.25,C
New Berlin,1,Ambient,18-Dec-18,2:15,AM,-4.75,C
New Berlin,1,Ambient,18-Dec-18,5:15,AM,-5.75,C
New Berlin,1,Ambient,18-Dec-18,8:15,AM,-0.5,C
New Berlin,1,Ambient,18-Dec-18,11:15,AM,7.25,C
New Berlin,1,Ambient,18-Dec-18,2:15,PM,10,C
New Berlin,1,Ambient,18-Dec-18,5:15,PM,4.25,C
New Berlin,1,Ambient,18-Dec-18,8:15,PM,1.75,C
New Berlin,1,Ambient,18-Dec-18,11:15,PM,1.75,C
New Berlin,1,Ambient,19-Dec-18,2:15,AM,0.75,C
New Berlin,1,Ambient,19-Dec-18,5:15,AM,0.25,C
New Berlin,1,Ambient,19-Dec-18,8:15,AM,1.25,C
New Berlin,1,Ambient,19-Dec-18,11:15,AM,4.75,C
New Berlin,1,Ambient,19-Dec-18,2:15,PM,7.25,C
New Berlin,1,Ambient,19-Dec-18,5:15,PM,7.25,C
New Berlin,1,Ambient,19-Dec-18,8:15,PM,6.25,C
New Berlin,1,Ambient,19-Dec-18,11:15,PM,6.25,C
New Berlin,1,Ambient,20-Dec-18,2:15,AM,6.25,C
New Berlin,1,Ambient,20-Dec-18,5:15,AM,5.75,C
New Berlin,1,Ambient,20-Dec-18,8:15,AM,5.25,C
New Berlin,1,Ambient,20-Dec-18,11:15,AM,5.75,C
New Berlin,1,Ambient,20-Dec-18,2:15,PM,5,C
New Berlin,1,Ambient,20-Dec-18,5:15,PM,4.25,C
New Berlin,1,Ambient,20-Dec-18,8:15,PM,3.75,C
New Berlin,1,Ambient,20-Dec-18,11:15,PM,3.75,C
New Berlin,1,Ambient,21-Dec-18,2:15,AM,1.75,C
New Berlin,1,Ambient,21-Dec-18,5:15,AM,0.75,C
New Berlin,1,Ambient,21-Dec-18,8:15,AM,0.25,C
New Berlin,1,Ambient,21-Dec-18,11:15,AM,0.25,C
New Berlin,1,Ambient,21-Dec-18,2:15,PM,-0.25,C
New Berlin,1,Ambient,21-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,21-Dec-18,8:15,PM,-1.25,C
New Berlin,1,Ambient,21-Dec-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,22-Dec-18,2:15,AM,-2.25,C
New Berlin,1,Ambient,22-Dec-18,5:15,AM,-2.75,C
New Berlin,1,Ambient,22-Dec-18,8:15,AM,-2.75,C
New Berlin,1,Ambient,22-Dec-18,11:15,AM,-1.75,C
New Berlin,1,Ambient,22-Dec-18,2:15,PM,-0.75,C
New Berlin,1,Ambient,22-Dec-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,22-Dec-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,22-Dec-18,11:15,PM,-0.75,C
New Berlin,1,Ambient,23-Dec-18,2:15,AM,-1,C
New Berlin,1,Ambient,23-Dec-18,5:15,AM,-1.25,C
New Berlin,1,Ambient,23-Dec-18,8:15,AM,-0.75,C
New Berlin,1,Ambient,23-Dec-18,11:15,AM,5,C
New Berlin,1,Ambient,23-Dec-18,2:15,PM,3.75,C
New Berlin,1,Ambient,23-Dec-18,5:15,PM,1.25,C
New Berlin,1,Ambient,23-Dec-18,8:15,PM,-0.25,C
New Berlin,1,Ambient,23-Dec-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,24-Dec-18,2:15,AM,-2.75,C
New Berlin,1,Ambient,24-Dec-18,5:15,AM,-4.25,C
New Berlin,1,Ambient,24-Dec-18,8:15,AM,-2.75,C
New Berlin,1,Ambient,24-Dec-18,11:15,AM,6.25,C
New Berlin,1,Ambient,24-Dec-18,2:15,PM,6,C
New Berlin,1,Ambient,24-Dec-18,5:15,PM,-0.25,C
New Berlin,1,Ambient,24-Dec-18,8:15,PM,-3.25,C
New Berlin,1,Ambient,24-Dec-18,11:15,PM,-5.25,C
New Berlin,1,Ambient,25-Dec-18,2:15,AM,-3.25,C
New Berlin,1,Ambient,25-Dec-18,5:15,AM,-2.25,C
New Berlin,1,Ambient,25-Dec-18,8:15,AM,-1.25,C
New Berlin,1,Ambient,25-Dec-18,11:15,AM,2.5,C
New Berlin,1,Ambient,25-Dec-18,2:15,PM,2.75,C
New Berlin,1,Ambient,25-Dec-18,5:15,PM,1.25,C
New Berlin,1,Ambient,25-Dec-18,8:15,PM,0.75,C
New Berlin,1,Ambient,25-Dec-18,11:15,PM,1.25,C
New Berlin,1,Ambient,26-Dec-18,2:15,AM,1.25,C
New Berlin,1,Ambient,26-Dec-18,5:15,AM,1.25,C
New Berlin,1,Ambient,26-Dec-18,8:15,AM,1.75,C
New Berlin,1,Ambient,26-Dec-18,11:15,AM,10.25,C
New Berlin,1,Ambient,26-Dec-18,2:15,PM,5.25,C
New Berlin,1,Ambient,26-Dec-18,5:15,PM,3.25,C
New Berlin,1,Ambient,26-Dec-18,8:15,PM,3.75,C
New Berlin,1,Ambient,26-Dec-18,11:15,PM,4.25,C
New Berlin,1,Ambient,27-Dec-18,2:15,AM,4,C
New Berlin,1,Ambient,27-Dec-18,5:15,AM,3.75,C
New Berlin,1,Ambient,27-Dec-18,8:15,AM,4.25,C
New Berlin,1,Ambient,27-Dec-18,11:15,AM,3.75,C
New Berlin,1,Ambient,27-Dec-18,2:15,PM,5.25,C
New Berlin,1,Ambient,27-Dec-18,5:15,PM,6.75,C
New Berlin,1,Ambient,27-Dec-18,8:15,PM,9.75,C
New Berlin,1,Ambient,27-Dec-18,11:15,PM,9.5,C
New Berlin,1,Ambient,28-Dec-18,2:15,AM,9.25,C
New Berlin,1,Ambient,28-Dec-18,5:15,AM,7.25,C
New Berlin,1,Ambient,28-Dec-18,8:15,AM,3,C
New Berlin,1,Ambient,28-Dec-18,11:15,AM,1.25,C
New Berlin,1,Ambient,28-Dec-18,2:15,PM,0.75,C
New Berlin,1,Ambient,28-Dec-18,5:15,PM,0.75,C
New Berlin,1,Ambient,28-Dec-18,8:15,PM,-0.5,C
New Berlin,1,Ambient,28-Dec-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,29-Dec-18,2:15,AM,-3.25,C
New Berlin,1,Ambient,29-Dec-18,5:15,AM,-4.75,C
New Berlin,1,Ambient,29-Dec-18,8:15,AM,-4.75,C
New Berlin,1,Ambient,29-Dec-18,11:15,AM,-3.75,C
New Berlin,1,Ambient,29-Dec-18,2:15,PM,-2.25,C
New Berlin,1,Ambient,29-Dec-18,5:15,PM,-3.75,C
New Berlin,1,Ambient,29-Dec-18,8:15,PM,-3.75,C
New Berlin,1,Ambient,29-Dec-18,11:15,PM,-4.25,C
New Berlin,1,Ambient,30-Dec-18,2:15,AM,-5.25,C
New Berlin,1,Ambient,30-Dec-18,5:15,AM,-6.75,C
New Berlin,1,Ambient,30-Dec-18,8:15,AM,-5.25,C
New Berlin,1,Ambient,30-Dec-18,11:15,AM,-0.25,C
New Berlin,1,Ambient,30-Dec-18,2:15,PM,4,C
New Berlin,1,Ambient,30-Dec-18,5:15,PM,-0.25,C
New Berlin,1,Ambient,30-Dec-18,8:15,PM,0.25,C
New Berlin,1,Ambient,30-Dec-18,11:15,PM,-0.75,C
New Berlin,1,Ambient,31-Dec-18,2:15,AM,-0.75,C
New Berlin,1,Ambient,31-Dec-18,5:15,AM,-0.75,C
New Berlin,1,Ambient,31-Dec-18,8:15,AM,0.75,C
New Berlin,1,Ambient,31-Dec-18,11:15,AM,2.25,C
New Berlin,1,Ambient,31-Dec-18,2:15,PM,3.25,C
New Berlin,1,Ambient,31-Dec-18,5:15,PM,1.5,C
New Berlin,1,Ambient,31-Dec-18,8:15,PM,1.25,C
New Berlin,1,Ambient,31-Dec-18,11:15,PM,0.25,C
New Berlin,1,Ambient,1-Jan-19,2:15,AM,-1.25,C
New Berlin,1,Ambient,1-Jan-19,5:15,AM,-2.75,C
New Berlin,1,Ambient,1-Jan-19,8:15,AM,-3.75,C
