Number,Strip,Diapause,Species,Egg.Count,Total.Larvae,PerSur,JANmeanT,JANmeanA,JANmeanD,DJFmeanT,DJFmeanA,DJFmeanD,MinT,MinA,MinD,FFrostT,FFrostA,DaysB12T,DaysB12A,DaysB0conT,DaysB0conA,HrsB12conT,HrsB12conA,FreThaT,FreThaA,Location,JANsnow
4,30,Y,AA,1116,0,0,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
4,98,N,AT,625,0,0,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
4,137,N,AA,NA,0,NA,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
4,43,Y,AT,440,1,0.227,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
4,62,Y,AT,1330,76,5.714,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
4,1,Y,AA,218,0,0,-3.66,-4.33,0.67,-0.45,-1.29,0.84,-27,-29.5,2.5,11/14/18 6:00,11/14/18 6:00,14,15,96,93,45,42,186,155,SCCMAD,51.5
5,88,Y,AT,766,0,0,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
5,99,N,AT,563,0,0,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
5,37,Y,AA,1643,0,0,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
5,12,Y,AA,192,0,0,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
5,73,Y,AT,461,168,36.443,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
5,120,N,AA,NA,0,NA,-3.38,-3.71,0.33,-0.21,-0.53,0.32,-27.5,-29,1.5,11/14/18 6:00,11/14/18 6:00,12,15,69,96,42,45,178,158,SCCMAD,64.4
6,17,Y,AA,1126,0,0,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
6,42,Y,AT,534,2,0.375,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
6,129,N,AA,NA,0,NA,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
6,34,Y,AA,1280,0,0,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
6,97,N,AT,370,0,0,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
6,80,Y,AT,560,128,22.857,-4.54,-4.82,0.28,-1.68,-2.01,0.33,-31,-30,-1,11/14/18 6:00,11/14/18 6:00,22,22,96,96,42,63,178,191,SCCMAD,61.1
7,33,Y,AA,1843,0,0,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
7,65,Y,AT,1978,1219,61.628,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
7,47,Y,AT,364,42,11.538,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
7,7,Y,AA,236,0,0,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
7,124,N,AA,NA,0,NA,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
7,115,N,AT,1501,7,0.466,-2.56,-3.75,1.19,-0.21,-0.66,0.45,-18.5,-28,9.5,11/15/18 21:00,11/14/18 6:00,5,13,699,114,12,24,105,144,Kankakee,57.3
8,100,N,AT,358,0,0,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
8,50,Y,AT,966,108,11.18,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
8,23,Y,AA,1174,0,0,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
8,22,Y,AA,287,0,0,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
8,128,N,AA,NA,0,NA,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
8,75,Y,AT,805,430,53.416,-4.55,-4.82,0.27,-1.79,-1.67,-0.12,-25.5,-28,2.5,11/14/18 18:00,11/14/18 6:00,11,16,681,117,66,66,125,150,Kankakee,56.7
9,32,Y,AA,1011,0,0,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
9,101,N,AT,687,0,0,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
9,82,Y,AT,946,332,35.095,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
9,86,Y,AT,539,0,0,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
9,143,N,AA,NA,0,NA,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
9,3,Y,AA,167,0,0,-3.55,-4.93,1.38,-1.19,-1.87,0.68,-17.5,-29.5,12,11/14/18 18:00,11/14/18 6:00,11,18,372,117,33,42,163,169,Kankakee,51.2
10,46,Y,AT,917,177,19.302,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
10,123,N,AA,NA,0,NA,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
10,114,N,AT,865,3,0.347,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
10,66,Y,AT,1627,945,58.082,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
10,39,Y,AA,557,0,0,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
10,16,Y,AA,1181,1,0.085,-2.03,-4.11,2.08,-0.57,-1.22,0.65,-19,-30.5,11.5,11/14/18 6:00,11/14/18 6:00,10,19,369,66,18,18,196,200,NWMAD,103
11,113,N,AT,932,5,0.536,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
11,76,Y,AT,631,399,63.233,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
11,27,Y,AA,1044,1,0.096,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
11,4,Y,AA,310,0,0,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
11,139,N,AA,NA,0,NA,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
11,89,Y,AT,653,1,0.153,-2.67,-5.76,3.09,-1.75,-2.82,1.07,-18.5,-32.5,14,11/14/18 6:00,11/14/18 6:00,13,25,237,123,12,66,180,160,NWMAD,99.6
12,87,Y,AT,394,0,0,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
12,28,Y,AA,1565,25,1.597,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
12,135,N,AA,NA,0,NA,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
12,81,Y,AT,762,414,54.331,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
12,6,Y,AA,299,6,2.007,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
12,102,N,AT,909,0,0,-0.66,-4.71,4.05,0.32,-1.76,2.08,-13.5,-28.5,15,11/14/18 6:00,11/14/18 6:00,1,14,207,240,3,75,92,107,NWMAD,77.3
13,141,N,AA,NA,0,NA,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
13,112,N,AT,999,5,0.501,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
13,67,Y,AT,1279,1025,80.141,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
13,90,Y,AT,881,3,0.341,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
13,38,Y,AA,742,0,0,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
13,8,Y,AA,307,0,0,-2.46,-3.21,0.75,0.24,-0.61,0.85,-23,-23,0,11/14/18 18:00,11/14/18 6:00,12,11,366,114,18,21,179,154,Champaign-Urbana,53
14,85,Y,AT,440,1,0.227,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
14,25,Y,AA,1449,0,0,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
14,24,Y,AA,1162,0,0,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
14,126,N,AA,NA,0,NA,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
14,103,N,AT,741,0,0,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
14,72,Y,AT,515,262,50.874,-2.33,-3.05,0.72,0.21,-0.26,0.47,-21,-23,2,11/14/18 21:00,11/14/18 6:00,7,12,708,156,42,45,83,95,Champaign-Urbana,53
15,104,N,AT,799,0,0,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
15,77,Y,AT,313,131,41.853,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
15,144,N,AA,NA,0,NA,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
15,21,Y,AA,1156,0,0,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
15,41,Y,AT,442,29,6.561,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
15,20,Y,AA,1384,0,0,-3.68,-3.96,0.28,-0.97,-1.07,0.1,-25,-26,1,11/14/18 21:00,11/14/18 6:00,12,12,705,168,42,45,137,119,Champaign-Urbana,48.5
Control 27,95,N,AT,346,1,0.289,27,27,0,27,27,0,27,27,0,NA,NA,NA,NA,0,0,0,0,0,0,Control27,NA
Control 27,70,Y,AT,667,57,8.546,27,27,0,27,27,0,27,27,0,NA,NA,NA,NA,0,0,0,0,0,0,Control27,NA
Control 27,131,N,AA,NA,121,NA,27,27,0,27,27,0,27,27,0,NA,NA,NA,NA,0,0,0,0,0,0,Control27,NA
Control 27,9,Y,AA,400,38,9.5,27,27,0,27,27,0,27,27,0,NA,NA,NA,NA,0,0,0,0,0,0,Control27,NA
Control 4,68,Y,AT,1850,333,18,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,127,N,AA,NA,10,NA,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,48,Y,AT,493,20,4.057,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,134,N,AA,NA,107,NA,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,105,N,AT,817,0,0,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,111,N,AT,1262,6,0.475,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,107,N,AT,797,0,0,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,14,Y,AA,946,146,15.433,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,11,Y,AA,257,36,14.008,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,132,N,AA,NA,0,NA,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,78,Y,AT,148,57,38.514,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
Control 4,29,Y,AA,1791,159,8.878,4,4,0,4,4,0,4,4,0,NA,NA,NA,NA,0,0,0,0,0,0,Control4,NA
